id;logo_path;name;origin_country;movie_id
171;;Malpaso Productions;US;66
850;/aF7qajGJGtMpdrtvssM9g90YanX.png;Eurimages;FR;67
15;/2GukAxjXAF3Qf4GosI6WzIgljL3.png;Lama Films;PS;67
89;;Augustus Film;;67
91;;Lama Productions;;67
93;;Lumer Films;;67
315;/hdu0sVxgtCuQud0xF8ZBiN7hEhY.png;Filmstiftung Nordrhein-Westfalen;DE;67
703;/lMV4teVPQWJxIaiDsAsU7Vdh1iC.png;Razor Film Produktion;DE;67
4508;/sUq2S2ndKxp1B2NjbMJbSNlPI8V.png;Nederlands Fonds voor de Film;NL;67
94;/huC7HqorvUThGIrENrbcHmQVUA0.png;ARTE France Cinéma;FR;67
451;/g1GRk1SdwxNwg5J3aXtrqTaXo8k.png;Medienboard Berlin-Brandenburg;DE;67
9048;;Hazazah Pictures;NL;67
10214;;Embassy International Pictures;US;68
6402;;Mars Media Beteiligungs;;69
84;;Tree Line Films;US;69
85;;Konrad Pictures;;69
86;;Catfish Productions;US;69
711;/tEiIH5QesdheJmDAqQwvtN60727.png;Fox 2000 Pictures;US;69
126;/kADPanRDkKTxncPXXVahvHPUvCj.png;Lakeshore Entertainment;US;70
171;;Malpaso Productions;US;70
1171;;Epsilon Motion Pictures;CH;70
16311;;Albert S. Ruddy Productions;;70
174;/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png;Warner Bros. Pictures;US;70
694;/5LEHONGkZBIoWvp1ygHOF8iyi1M.png;StudioCanal;FR;71
288;/aW0IpM9d4Zjj978EqgDVSxXXhTj.png;BBC Film;GB;71
686;/qMVjV8YFbxXrGVF4wD6hRjllVbr.png;Tiger Aspect Productions;GB;71
718;;Arts Council of England;GB;71
10163;/16KWBMmfPX0aJzDExDrPxSLj0Pg.png;Working Title Films;GB;71
10462;;WT2 Productions;;71
10146;/xnFIOeq5cKw09kCWqV7foWDe4AA.png;Focus Features;US;71
33;/8lvHyhjr8oUKOOy2dKXoALWKdp0.png;Universal Pictures;US;71
12;/5ThIuO93vsk47oexKTSdfKEr7EC.png;New Line Cinema;US;73
11308;;Savoy Pictures;;73
924;;The Turman-Morrissey Company;;73
4;/gz66EfNoYPqHTYI4q9UEN4CbHRc.png;Paramount;US;74
56;/cEaxANEisCqeEoRvODv2dO1I0iI.png;Amblin Entertainment;US;74
44;;Cruise/Wagner Productions;US;74
7;/vru2SssLX3FPhnKZGtYw00pVIS9.png;DreamWorks Pictures;US;74
8601;;Tim Burton Productions;;75
174;/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png;Warner Bros. Pictures;US;75
97;/7znWcbDd4PcJzJUlJxYqAlPPykp.png;Castle Rock Entertainment;US;76
104576;/sNhEzePPkxW3AKqr3l0h7I1k0hR.png;Filmhaus Films;AT;76
11510;/gg3gP2wHNNfOfLKdXGjYC9qJ9ok.png;Detour Filmproduction;US;76
491;/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png;Summit Entertainment;US;77
506;;Newmarket Capital Group;US;77
598;;Team Todd;;77
34446;;I Remember Productions;;77
5798;/tmuI9BGXgpWLmokhlxpnG3IGNQB.png;Shaw Brothers;HK;78
7965;;The Ladd Company;US;78
